MoleculeType	Identifier	MoleculeName	
Proteins	Q14344	UniProt:Q14344 GNA13	
Proteins	Q06187	UniProt:Q06187 BTK	
Proteins	O75116	UniProt:O75116 ROCK2	
Proteins	Q13464	UniProt:Q13464 ROCK1	
Proteins	Q9NZN5	UniProt:Q9NZN5 ARHGEF12	
Proteins	P08134	UniProt:P08134 RHOC	
Proteins	P62745	UniProt:P62745 RHOB	
Proteins	P61586	UniProt:P61586 RHOA	
Proteins	O43157	UniProt:O43157 PLXNB1	
Proteins	Q92888	UniProt:Q92888 ARHGEF1	
Proteins	A8MVX0	UniProt:A8MVX0 ARHGEF33	
Proteins	Q9NXL2	UniProt:Q9NXL2 ARHGEF38	
Proteins	Q9HCE6	UniProt:Q9HCE6 ARHGEF10L	
Proteins	Q8TER5	UniProt:Q8TER5 ARHGEF40	
Proteins	O15013	UniProt:O15013 ARHGEF10	
Proteins	A5YM69	UniProt:A5YM69 ARHGEF35	
Proteins	O94989	UniProt:O94989 ARHGEF15	
Proteins	Q8N4T4	UniProt:Q8N4T4 ARHGEF39	
Proteins	A1IGU5	UniProt:A1IGU5 ARHGEF37	
Proteins	Q96DR7	UniProt:Q96DR7 ARHGEF26	
Proteins	Q8N5V2	UniProt:Q8N5V2 NGEF	
Proteins	Q15811	UniProt:Q15811 ITSN1	
Proteins	O15068	UniProt:O15068 MCF2L	
Proteins	Q96M96	UniProt:Q96M96 FGD4	
Proteins	O43307	UniProt:O43307 ARHGEF9	
Proteins	P15498	UniProt:P15498 VAV1	
Proteins	Q07890	UniProt:Q07890 SOS2	
Proteins	Q12979	UniProt:Q12979 ABR	
Proteins	O94827	UniProt:O94827 PLEKHG5	
Proteins	P98174	UniProt:P98174 FGD1	
Proteins	Q12774	UniProt:Q12774 ARHGEF5	
Proteins	Q96PE2	UniProt:Q96PE2 ARHGEF17	
Proteins	Q8TCU6	UniProt:Q8TCU6 PREX1	
Proteins	Q8IW93	UniProt:Q8IW93 ARHGEF19	
Proteins	Q7Z6J4	UniProt:Q7Z6J4 FGD2	
Proteins	Q7Z628	UniProt:Q7Z628 NET1	
Proteins	Q6ZSZ5	UniProt:Q6ZSZ5 ARHGEF18	
Proteins	Q9H7P9	UniProt:Q9H7P9 PLEKHG2	
Proteins	Q5JSP0	UniProt:Q5JSP0 FGD3	
Proteins	Q92974	UniProt:Q92974 ARHGEF2	
Proteins	Q9H8V3	UniProt:Q9H8V3 ECT2	
Proteins	O15085	UniProt:O15085 ARHGEF11	
Proteins	Q9NR81	UniProt:Q9NR81 ARHGEF3	
Proteins	Q9NR80	UniProt:Q9NR80 ARHGEF4	
Proteins	O75962	UniProt:O75962 TRIO	
Proteins	Q07889	UniProt:Q07889 SOS1	
Proteins	Q9UKW4	UniProt:Q9UKW4 VAV3	
Proteins	Q14155	UniProt:Q14155 ARHGEF7	
Proteins	Q15052	UniProt:Q15052 ARHGEF6	
Proteins	Q13009	UniProt:Q13009 TIAM1	
Proteins	P52735	UniProt:P52735 VAV2	
Proteins	Q8IVF5	UniProt:Q8IVF5 TIAM2	
Proteins	O60229	UniProt:O60229 KALRN	
Proteins	P10911	UniProt:P10911 MCF2	
Proteins	Q5VV41	UniProt:Q5VV41 ARHGEF16	
Proteins	Q12802	UniProt:Q12802 AKAP13	
Proteins	O14827	UniProt:O14827 RASGRF2	
Proteins	Q5VST9	UniProt:Q5VST9 OBSCN	
Proteins	Q13153	UniProt:Q13153 PAK1	
Proteins	P60953	UniProt:P60953 CDC42	
Proteins	Q8WYR1	UniProt:Q8WYR1 PIK3R5	
Proteins	Q5UE93	UniProt:Q5UE93 PIK3R6	
Proteins	P48736	UniProt:P48736 PIK3CG	
Proteins	O15530	UniProt:O15530 PDPK1	
Proteins	P31751	UniProt:P31751 AKT2	
Proteins	Q9Y243	UniProt:Q9Y243 AKT3	
Proteins	P31749	UniProt:P31749 AKT1	
Proteins	P29992	UniProt:P29992 GNA11	
Proteins	P30679	UniProt:P30679 GNA15	
Proteins	P50148	UniProt:P50148 GNAQ	
Proteins	O95837	UniProt:O95837 GNA14	
Proteins	P42336	UniProt:P42336 PIK3CA	
Proteins	Q92569	UniProt:Q92569 PIK3R3	
Proteins	O00459	UniProt:O00459 PIK3R2	
Proteins	P27986	UniProt:P27986 PIK3R1	
Proteins	P41220	UniProt:P41220 RGS2	
Proteins	P35367	UniProt:P35367 HRH1	
Proteins	Q9Y271	UniProt:Q9Y271 CYSLTR1	
Proteins	P00734	UniProt:P00734 F2	
Proteins	O00254	UniProt:O00254 F2RL2	
Proteins	Q96RI0	UniProt:Q96RI0 F2RL3	
Proteins	P25116	UniProt:P25116 F2R	
Proteins	P55085	UniProt:P55085 F2RL1	
Proteins	P43657	UniProt:P43657 LPAR6	
Proteins	O15130	UniProt:O15130 NPFF	
Proteins	Q9GZQ6	UniProt:Q9GZQ6 NPFFR1	
Proteins	Q9Y5X5	UniProt:Q9Y5X5 NPFFR2	
Proteins	Q96P88	UniProt:Q96P88 GNRHR2	
Proteins	P30968	UniProt:P30968 GNRHR	
Proteins	P01148	UniProt:P01148 GNRH1	
Proteins	O43555	UniProt:O43555 GNRH2	
Proteins	P25103	UniProt:P25103 TACR1	
Proteins	P20366	UniProt:P20366 TAC1	
Proteins	O43612	UniProt:O43612 HCRT	
Proteins	O43614	UniProt:O43614 HCRTR2	
Proteins	P41231	UniProt:P41231 P2RY2	
Proteins	Q15077	UniProt:Q15077 P2RY6	
Proteins	P05305	UniProt:P05305 EDN1	
Proteins	P14138	UniProt:P14138 EDN3	
Proteins	P20800	UniProt:P20800 EDN2	
Proteins	P25101	UniProt:P25101 EDNRA	
